filename	id	split	dataset	nima	transient
99878485_866291861.jpg	1401.0	train	pantheon-exterior	5.702414937317371	0.1264130771160125
99839489_8344236275.jpg	1400.0	train	pantheon-exterior	5.666280899196863	0.0852358788251876
99833211_8985660865.jpg	1399.0	train	pantheon-exterior	4.958501823246479	0.0313726477324962
99767127_10860506125.jpg	1398.0	train	pantheon-exterior	5.451544255018234	0.1342576295137405
99754729_8560659133.jpg	1397.0	train	pantheon-exterior	5.49538940563798	0.1738092750310897
99656965_3139976954.jpg	1396.0	train	pantheon-exterior	5.138837717473507	0.0
99602125_2046602199.jpg	1395.0	train	pantheon-exterior	5.4685530215501785	0.0704030841588974
99525902_2783486046.jpg	1394.0	train	pantheon-exterior	5.454675830900669	0.0043763448484241
99279502_2433876122.jpg	1393.0	train	pantheon-exterior	5.388181492686272	0.158799722790718
99274361_5744181239.jpg	1392.0	train	pantheon-exterior	5.479764088988304	0.0048948875628411
99262134_5460160235.jpg	1391.0	train	pantheon-exterior	5.060329593718052	0.2735904455184936
99220782_2426614170.jpg	1390.0	train	pantheon-exterior	4.910577364265919	0.0276430658996105
99202044_456565268.jpg	1389.0	train	pantheon-exterior	5.681498922407627	0.0124443145468831
99161793_1162107551.jpg	1388.0	train	pantheon-exterior	5.317808493971825	0.1271253526210785
99152336_985502353.jpg	1387.0	train	pantheon-exterior	4.966208331286907	0.1043374612927436
99051226_206049734.jpg	1386.0	train	pantheon-exterior	5.512213218957186	0.0
99000485_2698852242.jpg	1385.0	train	pantheon-exterior	5.123394180089235	0.0
98884226_3050836588.jpg	1384.0	train	pantheon-exterior	5.091283705085516	0.0591342076659202
98882064_5189305326.jpg	1383.0	train	pantheon-exterior	5.0187526643276215	0.0124711655080318
98719146_6259532871.jpg	1382.0	train	pantheon-exterior	4.637883581221104	0.0245348624885082
98662737_5935208182.jpg	1381.0	train	pantheon-exterior	5.513043619692326	0.0
98635833_2188300883.jpg	1380.0	train	pantheon-exterior	5.214883551001549	0.2074224054813385
98604604_7278562268.jpg	1379.0	train	pantheon-exterior	5.14315365254879	0.0769985988736152
98603467_4094769412.jpg	1378.0	train	pantheon-exterior	5.18682886660099	0.0332115478813648
98525242_10860505765.jpg	1377.0	train	pantheon-exterior	5.276310168206692	0.0571703352034091
98501110_9777467144.jpg	1376.0	train	pantheon-exterior	5.217084426432848	0.0020578291732817
98424892_9777485896.jpg	1375.0	train	pantheon-exterior	5.067815370857716	0.0440659038722515
98371063_89196334.jpg	1374.0	train	pantheon-exterior	5.329337686300278	0.0697617903351783
98340051_303383674.jpg	1373.0	train	pantheon-exterior	5.6012085899710655	0.0876484587788581
98335633_11074261443.jpg	1372.0	train	pantheon-exterior	5.368372425436974	0.1410018503665924
